Name,Platform,Format,Now Playing,Ownership Status,Progress Status
Rocket League,PC / Windows,Digital (Steam),No,Owned,Completionated
Rocketbirds: Hardboiled Chicken,PC / Windows,Digital (Steam),No,Owned,Incomplete
ROCKETSROCKETSROCKETS,PC / Windows,Digital (Steam),No,Owned,Incomplete
Rogue Legacy,PC / Windows,Digital (Steam),No,Owned,Completionated
RollerCoaster Tycoon 2,PC / Windows,Digital (GOG),No,Owned,Incomplete
RollerCoaster Tycoon 2: Time Twister,PC / Windows,Digital (GOG),No,Owned,Incomplete
RollerCoaster Tycoon 2: Triple Thrill Pack,PC / Windows,Digital (GOG),No,Owned,Incomplete
RollerCoaster Tycoon 2: Wacky Worlds,PC / Windows,Digital (GOG),No,Owned,Incomplete
RollerCoaster Tycoon 3,PC / Windows,Digital (Steam),No,Owned,Completionated
RollerCoaster Tycoon 3: Platinum,PC / Windows,Digital (Steam),No,Owned,Incomplete
RollerCoaster Tycoon 3: Soaked!,PC / Windows,Digital (Steam),No,Owned,Incomplete
RollerCoaster Tycoon 3: Wild!,PC / Windows,Digital (Steam),No,Owned,Incomplete
Roundabout,PC / Windows,Digital (Steam),No,Owned,Finished
RuneStone Keeper,PC / Windows,Digital (Steam),No,Owned,Finished
Ryse: Son of Rome,PC / Windows,Digital (Steam),No,Owned,Incomplete
Saints Row IV,PC / Windows,Digital (Steam),No,Owned,Incomplete
Sam & Max Hit the Road,PC / Windows,Digital (GOG),No,Owned,Incomplete
Samorost 2,PC / Windows,Digital (Steam),No,Owned,Finished
SanctuaryRPG: Black Edition,PC / Windows,Digital (Steam),No,Owned,Incomplete
Savant: Ascent,PC / Windows,Digital (Steam),No,Owned,Incomplete
Secrets of Raetikon,PC / Windows,Digital (Steam),No,Owned,Incomplete
Serious Sam 3: BFE,PC / Windows,Digital (Steam),No,Owned,Finished
Shadow Complex: Remastered,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Shadow Warrior (1997),PC / Windows,Digital (GOG),No,Owned,Incomplete
Shadow Warrior: Twin Dragon,PC / Windows,Digital (GOG),No,Owned,Incomplete
Shadow Warrior: Wanton Destruction,PC / Windows,Digital (GOG),No,Owned,Incomplete
Shadowgrounds,PC / Windows,Digital (Steam),No,Owned,Incomplete
Shadowgrounds: Survivor,PC / Windows,Digital (Steam),No,Owned,Incomplete
Shadowrun: Dragonfall - Director's Cut,PC / Windows,Digital (GOG),No,Owned,Incomplete
Shank,PC / Windows,Digital (Steam),No,Owned,Incomplete
Shantae and the Pirate's Curse,PC / Windows,Digital (Steam),No,Owned,Incomplete
Shatter,PC / Windows,Digital (Steam),No,Owned,Finished
Shattered Haven,PC / Windows,Digital (Steam),No,Owned,Never Playing
Shattered Planet,PC / Windows,Digital (Steam),No,Owned,Finished
Shovel Knight,PC / Windows,Digital (Steam),No,Owned,Finished
Sid Meier's Alien Crossfire,PC / Windows,Digital (GOG),No,Owned,Incomplete
Sid Meier's Alpha Centauri,PC / Windows,Digital (GOG),No,Owned,Incomplete
Sid Meier's Alpha Centauri Planetary Pack,PC / Windows,Digital (GOG),No,Owned,Incomplete
Sid Meier's Civilization III,PC / Windows,Digital (Steam),No,Owned,Incomplete
Sid Meier's Civilization III: Complete,PC / Windows,Digital (Steam),No,Owned,Never Playing
Sid Meier's Civilization III: Conquests,PC / Windows,Digital (Steam),No,Owned,Incomplete
